QMUXTXRX.
Cur Time : 87.091000sec
drop count = 0, drop time = 0.000000sec, high water mark = 0

	TIME(sys)	STRING
13.516785	SSIPC_RX 08 00 00 00 0a 01 02 ff
13.522821	SSIPC_TX 08 00 00 ff 10 0c 03 01
13.523128	SSIPC_TX 11 01 00 00 0a 01 02 ff 47 39 35 35 55 53 51 55 37 44 54 46 34 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 52 45 56 31 2e 30 00 5b 00 00
13.525801	SSIPC_RX 0c 00 01 00 0f 3a 02 01 00 00 00 00
13.525842	SSIPC_TX 0d 00 00 01 0f 3a 02 01 00 00 00 00 00
14.047804	SHIMQMI 04 03 01 90 00 18 00 10 03 00 ff ff ff 11 03 00
15.650954	SHIMQMI 04 03 01 94 00 04 00 10 01 00 00
15.668637	SHIMQMI 04 03 01 4e 00 77 00 12 03 00 00 00 00 13 03 00
15.671751	SHIMQMI 04 03 01 4e 00 77 00 12 03 00 00 00 00 13 03 00
15.672506	SHIMQMI 00 03 01 4f 00 00 00
15.672700	SHIMQMI 02 03 01 4f 00 15 00 02 04 00 00 00 00 00 14 06
16.101800	SHIMQMI 04 0b 01 32 00 12 00 10 0f 00 ff ff ff ff ff ff
16.103954	SHIMQMI 04 0c 01 0c 00 68 00 15 0b 00 0a 00 00 00 00 00
18.127640	SHIMQMI 00 08 01 20 00 3c 00 01 0a 00 01 07 00 00 05 2b
18.127848	SHIMQMI 02 08 01 20 00 07 00 02 04 00 00 00 00 00
18.128183	SHIMQMI 00 08 01 20 00 3c 00 01 0a 00 01 07 00 00 05 2b
18.128235	SHIMQMI 02 08 01 20 00 07 00 02 04 00 00 00 00 00
18.128419	SHIMQMI 00 08 01 20 00 3c 00 01 0a 00 01 07 00 00 05 2b
18.128471	SHIMQMI 02 08 01 20 00 07 00 02 04 00 00 00 00 00
18.128645	SHIMQMI 00 08 01 20 00 3c 00 01 0a 00 01 07 00 00 05 2b
18.128695	SHIMQMI 02 08 01 20 00 07 00 02 04 00 00 00 00 00
