MCFG.
Cur Time : 4211.111000sec
drop count = 0, drop time = 0.000000sec, high water mark = 0

	TIME(sys)	FILE	LINE	STRING
11.672424	mcfg_utils.c	2136	mcfg_utils_get_default_config: type 1 size 2156
11.672427	mcfg_utils.c	2197	get_default_config_info type(1) status(1)
11.672435	mcfg_nv.c	559	mcfg_nv_build_path status 0
11.672467	mcfg_nv.c	601	mcfg_nv_read status 0
11.672469	mcfg_default.c	428	Update default config digest for type 1 
11.672470	mcfg_default.c	607	Default config digest update not required for type(1)!
11.672471	mcfg_proc.c	359	mcfg default config not required for cfg type 0x1,
11.672473	mcfg_load.c	417	modem_cfg_load_and_auth_mcfg 5 - err 4109
11.672474	mcfg_proc.c	380	mcfg_load_and_auth_seg fail for cfg type 1, status = 4109, subs_id = 1
11.672475	mcfg_utils.c	614	Unexpected NULL pointer!
11.672477	mcfg_task.c	369	Modem Config Processing Error 0x100d
11.672477	mcfg_task.c	371	Modem Config Processing -DONE
11.672607	qmi_pdc_svc.c	4075	pdc_default_load_config_cache(): cache is now reset
11.673058	mcfg_task.c	584	mcfg_malloc, mcfg_heap_blocks 1
11.673061	mcfg_task.c	695	task cmd_id 5 queued with delay of 10000 ms
11.673063	mcfg_task.c	696	mcfg_malloc, mcfg_heap_blocks 2
11.786447	mcfg_task.c	584	mcfg_malloc, mcfg_heap_blocks 3
11.787361	mcfg_refresh.c	1523	mcfg_malloc, mcfg_heap_blocks 1
11.787432	mcfg_refresh.c	1538	mcfg_refresh_add_client order 5 cb d0d9a770
11.787436	mcfg_task.c	636	mcfg_free, mcfg_heap_blocks 2
11.829774	mcfg_task.c	584	mcfg_malloc, mcfg_heap_blocks 3
11.830515	mcfg_refresh.c	1523	mcfg_malloc, mcfg_heap_blocks 2
11.830741	mcfg_refresh.c	1538	mcfg_refresh_add_client order 5 cb c17007f8
11.830747	mcfg_task.c	636	mcfg_free, mcfg_heap_blocks 2
11.831995	mcfg_uim.c	1920	Starting MCFG_UIM MMGSDI initialization
11.834396	mcfg_task.c	584	mcfg_malloc, mcfg_heap_blocks 3
11.834407	mcfg_refresh.c	1523	mcfg_malloc, mcfg_heap_blocks 3
11.834412	mcfg_refresh.c	1538	mcfg_refresh_add_client order 5 cb d07a3b24
11.834414	mcfg_task.c	636	mcfg_free, mcfg_heap_blocks 2
11.838259	mcfg_task.c	584	mcfg_malloc, mcfg_heap_blocks 3
11.838273	mcfg_refresh.c	1523	mcfg_malloc, mcfg_heap_blocks 4
11.838276	mcfg_refresh.c	1538	mcfg_refresh_add_client order 5 cb d0a9fb68
11.838278	mcfg_task.c	636	mcfg_free, mcfg_heap_blocks 2
11.845441	mcfg_task.c	584	mcfg_malloc, mcfg_heap_blocks 3
11.845453	mcfg_refresh.c	1523	mcfg_malloc, mcfg_heap_blocks 5
11.845457	mcfg_refresh.c	1538	mcfg_refresh_add_client order 5 cb c0a65d98
11.845460	mcfg_task.c	636	mcfg_free, mcfg_heap_blocks 2
11.854847	mcfg_task.c	584	mcfg_malloc, mcfg_heap_blocks 3
11.854877	mcfg_refresh.c	1523	mcfg_malloc, mcfg_heap_blocks 6
11.854880	mcfg_refresh.c	1538	mcfg_refresh_add_client order 5 cb d0be8204
11.854884	mcfg_task.c	636	mcfg_free, mcfg_heap_blocks 2
11.856555	mcfg_task.c	584	mcfg_malloc, mcfg_heap_blocks 3
11.856567	mcfg_refresh.c	1523	mcfg_malloc, mcfg_heap_blocks 7
11.856569	mcfg_refresh.c	1538	mcfg_refresh_add_client order 5 cb d0801914
11.856571	mcfg_task.c	636	mcfg_free, mcfg_heap_blocks 2
11.857822	mcfg_task.c	584	mcfg_malloc, mcfg_heap_blocks 3
11.857832	mcfg_uim.c	2484	Processing MMGSDI cnf 0
11.857874	mcfg_uim.c	1677	Successfully allocated MMGSDI client ID
11.857876	mcfg_uim.c	1700	Opening ext session with mask 3F
11.857884	mcfg_task.c	636	mcfg_free, mcfg_heap_blocks 2
11.858011	mcfg_task.c	584	mcfg_malloc, mcfg_heap_blocks 3
11.858017	mcfg_uim.c	2429	mcfg_malloc, mcfg_heap_blocks 1
11.858020	mcfg_uim.c	2484	Processing MMGSDI cnf 65
11.858022	mcfg_uim.c	2551	Successfully open card ext sessions with 6 session(s)
11.858024	mcfg_uim.c	2557	Open session index 0 slot_id 2147483647 session_id 1b session_type 0
11.858027	mcfg_uim.c	2630	Sub 0 session gw/1x 0 type 0 id 1b app_type 27
11.858028	mcfg_uim.c	2557	Open session index 1 slot_id 2147483647 session_id 1c session_type 0
11.858030	mcfg_uim.c	2630	Sub 1 session gw/1x 0 type 2 id 1c app_type 28
11.858031	mcfg_uim.c	2557	Open session index 2 slot_id 2147483647 session_id 1d session_type 0
11.858032	mcfg_uim.c	2630	Sub 0 session gw/1x 1 type 1 id 1d app_type 29
11.858034	mcfg_uim.c	2557	Open session index 3 slot_id 2147483647 session_id 1e session_type 0
11.858035	mcfg_uim.c	2630	Sub 1 session gw/1x 1 type 3 id 1e app_type 30
11.858036	mcfg_uim.c	2557	Open session index 4 slot_id 1 session_id 1f session_type 0
11.858037	mcfg_uim.c	2617	Slot 0 session type 6 id 1f
11.858039	mcfg_uim.c	2226	Not ready to query ICCID 0: waiting on card inserted event
11.858040	mcfg_uim.c	2557	Open session index 5 slot_id 2 session_id 20 session_type 0
11.858041	mcfg_uim.c	2617	Slot 1 session type 7 id 20
11.858042	mcfg_uim.c	2226	Not ready to query ICCID 1: waiting on card inserted event
11.858044	mcfg_uim.c	2643	mcfg_free, mcfg_heap_blocks 0
11.858046	mcfg_task.c	636	mcfg_free, mcfg_heap_blocks 2
12.066626	mcfg_task.c	584	mcfg_malloc, mcfg_heap_blocks 3
12.066639	mcfg_refresh.c	1523	mcfg_malloc, mcfg_heap_blocks 8
