Start : 2843207, 86.767812sec

Sleep Statics
===== Client : 0 - MPSS =====
Time Sleep : 1261095912
Time Awake : 95458592
Sleep : 92.963158% Awake : 7.036842%
Log available 16 ~ 86sec
Client : 0, Discarded : 0
Client : 0, Discarded Time : 0

Time sclk	Time sec	Status	Duration
===== Client : 0 - MPSS =====
00000616731056	00032.121409	S	0.000054
00000616732084	00032.121463	W	0.000020
00000616732460	00032.121482	S	0.000072
00000616733848	00032.121555	W	0.000243
00000616738520	00032.121798	S	0.002695
00000616790268	00032.124493	W	0.000802
00000616805664	00032.125295	S	0.000074
00000616807092	00032.125369	W	0.000039
00000616807840	00032.125408	S	0.000053
00000616808848	00032.125461	W	0.000039
00000616809588	00032.125499	S	0.000055
00000616810636	00032.125554	W	0.000020
00000616811012	00032.125574	S	0.000071
00000616812380	00032.125645	W	0.000093
00000616814168	00032.125738	S	0.002615
00000616864368	00032.128352	W	0.000937
00000616882360	00032.129290	S	0.000050
00000616883328	00032.129340	W	0.000048
00000616884240	00032.129387	S	0.000067
00000616885520	00032.129454	W	0.000075
00000616886960	00032.129529	S	0.000048
00000616887872	00032.129577	W	0.000020
00000616888252	00032.129596	S	0.000046
00000616889132	00032.129642	W	0.000094
00000616890944	00032.129737	S	0.002585
00000616940568	00032.132321	W	0.000772
00000616955388	00032.133093	S	0.000087
00000616957056	00032.133180	W	0.000078
00000616958552	00032.133258	S	0.000109
00000616960640	00032.133367	W	0.000071
00000616962012	00032.133438	S	0.000047
00000616962912	00032.133485	W	0.000037
00000616963624	00032.133522	S	0.000047
00000616964524	00032.133569	W	0.000020
00000616964900	00032.133589	S	0.000052
00000616965900	00032.133641	W	0.000092
00000616967672	00032.133733	S	0.002585
00000617017300	00032.136318	W	0.000832
00000617033268	00032.137149	S	0.000066
00000617034544	00032.137216	W	0.000038
00000617035272	00032.137254	S	0.000053
00000617036288	00032.137307	W	0.000036
00000617036988	00032.137343	S	0.000049
00000617037936	00032.137392	W	0.000036
00000617038632	00032.137429	S	0.000058
00000617039736	00032.137486	W	0.000020
00000617040120	00032.137506	S	0.000073
00000617041512	00032.137579	W	0.000093
00000617043296	00032.137672	S	0.002592
00000617093060	00032.140264	W	0.000817
00000617108756	00032.141081	S	0.000071
00000617110120	00032.141152	W	0.000040
00000617110880	00032.141192	S	0.000052
00000617111884	00032.141244	W	0.000037
00000617112600	00032.141281	S	0.000048
00000617113524	00032.141329	W	0.000038
00000617114252	00032.141367	S	0.000056
00000617115328	00032.141423	W	0.000020
00000617115716	00032.141444	S	0.000072
00000617117104	00032.141516	W	0.000093
00000617118896	00032.141609	S	0.004766
00000617210396	00032.146375	W	0.000799
00000617225740	00032.147174	S	0.000079
00000617227248	00032.147253	W	0.000039
00000617228004	00032.147292	S	0.000052
00000617229000	00032.147344	W	0.000038
00000617229728	00032.147382	S	0.000055
00000617230792	00032.147437	W	0.000020
00000617231176	00032.147457	S	0.000072
00000617232552	00032.147529	W	0.000093
00000617234332	00032.147621	S	0.002537
00000617283048	00032.150159	W	0.000785
00000617298116	00032.150944	S	0.000152
00000617301040	00032.151096	W	0.000078
00000617302540	00032.151174	S	0.000108
00000617304620	00032.151282	W	0.000074
00000617306032	00032.151356	S	0.000047
00000617306940	00032.151403	W	0.000021
00000617307336	00032.151424	S	0.000046
00000617308220	00032.151470	W	0.000095
00000617310036	00032.151564	S	0.011461
00000617530080	00032.163025	W	0.000791
00000617545276	00032.163816	S	0.000067
00000617546568	00032.163884	W	0.000082
00000617548144	00032.163966	S	0.000104
00000617550144	00032.164070	W	0.000075
00000617551584	00032.164145	S	0.000048
00000617552508	00032.164193	W	0.000051
00000617553488	00032.164244	S	0.000102
00000617555444	00032.164346	W	0.000092
00000617557208	00032.164438	S	0.006787
00000617687520	00032.171225	W	0.000812
00000617703104	00032.172037	S	0.000064
00000617704340	00032.172101	W	0.000039
00000617705096	00032.172140	S	0.000051
00000617706076	00032.172191	W	0.000038
00000617706804	00032.172229	S	0.000048
00000617707716	00032.172277	W	0.000038
00000617708448	00032.172315	S	0.000056
00000617709524	00032.172371	W	0.000019
00000617709896	00032.172390	S	0.000073
00000617711304	00032.172464	W	0.000091
00000617713044	00032.172554	S	0.005885
00000617826036	00032.178439	W	0.000823
00000617841832	00032.179262	S	0.000071
00000617843200	00032.179333	W	0.000039
00000617843956	00032.179373	S	0.000053
00000617844964	00032.179425	W	0.000037
00000617845684	00032.179463	S	0.000049
00000617846616	00032.179511	W	0.000038
00000617847340	00032.179549	S	0.000056
00000617848420	00032.179605	W	0.000020
00000617848800	00032.179625	S	0.000073
00000617850192	00032.179698	W	0.000091
00000617851936	00032.179788	S	0.008705
00000618019064	00032.188493	W	0.000801
00000618034440	00032.189294	S	0.000078
00000618035932	00032.189371	W	0.000039
00000618036672	00032.189410	S	0.000053
00000618037684	00032.189463	W	0.000037
00000618038388	00032.189499	S	0.000055
00000618039452	00032.189555	W	0.000020
00000618039840	00032.189575	S	0.000071
00000618041200	00032.189646	W	0.000092
00000618042976	00032.189738	S	0.615713
00000629864672	00032.805452	W	0.001887
00000629900896	00032.807338	S	0.006000
00000630016092	00032.813338	W	0.045933
00000630898000	00032.859271	S	0.368577
00000637974672	00033.227848	W	0.007105
00000638111088	00033.234952	S	0.850908
00000654448524	00034.085861	W	0.001886
00000654484744	00034.087747	S	0.005591
00000654592100	00034.093339	W	0.134894
00000657182056	00034.228232	S	1.137405
00000679020228	00035.365637	W	0.001858
00000679055904	00035.367495	S	0.005841
00000679168048	00035.373336	W	0.050858
00000680144516	00035.424194	S	1.221403
00000703595452	00036.645596	W	0.001885
00000703631644	00036.647481	S	0.005855
00000703744052	00036.653336	W	0.050804
00000704719496	00036.704140	S	0.299503
00000710469956	00037.003644	W	0.001003
00000710489220	00037.004647	S	0.000115
00000710491424	00037.004762	W	0.000077
00000710492908	00037.004839	S	0.000048
00000710493820	00037.004886	W	0.000052
00000710494816	00037.004938	S	0.000104
00000710496816	00037.005043	W	0.000092
00000710498580	00037.005134	S	0.002647
00000710549408	00037.007782	W	0.000816
00000710565068	00037.008597	S	0.000078
00000710566564	00037.008675	W	0.000040
00000710567328	00037.008715	S	0.000051
